ID,State_FIPS,Name,Region_type,State,diversity_2012,diversity_2013,diversity_2014,diversity_2015
2601,26,Warren,CSA,Michigan,0.6224214952947553,0.632766465697898,0.6248469656175604,0.6251811243501284
2601,26,Ann Arbor,CSA,Michigan,0.6224214952947553,0.632766465697898,0.6248469656175604,0.6251811243501284
2602,26,Grand Rapids,CSA,Michigan,0.6479855259767396,0.6440038084987069,0.6516192281810255,0.6454883798414122
2602,26,Wyoming,CSA,Michigan,0.6479855259767396,0.6440038084987069,0.6516192281810255,0.6454883798414122
2602,26,Muskegon,CSA,Michigan,0.6479855259767396,0.6440038084987069,0.6516192281810255,0.6454883798414122
2603,26,Jackson,MSA,Michigan,0.56566346261524,0.561736417909138,0.5673569512271747,0.5668510978340706
2604,26,Kalamazoo,CSA,Michigan,0.576257610513916,0.6142669209481367,0.580684397222601,0.5743020846663592
2604,26,Battle Creek,CSA,Michigan,0.576257610513916,0.6142669209481367,0.580684397222601,0.5743020846663592
2604,26,Portage,CSA,Michigan,0.576257610513916,0.6142669209481367,0.580684397222601,0.5743020846663592
2605,26,Lansing,CSA,Michigan,0.6080410948209436,0.6054253908350304,0.6042058469193021,0.6061445625126006
2605,26,East Lansing,CSA,Michigan,0.6080410948209436,0.6054253908350304,0.6042058469193021,0.6061445625126006
2605,26,Owosso,CSA,Michigan,0.6080410948209436,0.6054253908350304,0.6042058469193021,0.6061445625126006
2606,26,Mount Pleasant,CSA,Michigan,0.6289099957320705,0.6171216244363373,0.6275555019357963,0.6276514828839124
2606,26,Alma,CSA,Michigan,0.6289099957320705,0.6171216244363373,0.6275555019357963,0.6276514828839124
2607,26,Saginaw,CSA,Michigan,0.5017243505057316,0.5116993337529834,0.49199972942657877,0.4922391827971828
2607,26,Midland,CSA,Michigan,0.5017243505057316,0.5116993337529834,0.49199972942657877,0.4922391827971828
2607,26,Bay City,CSA,Michigan,0.5017243505057316,0.5116993337529834,0.49199972942657877,0.4922391827971828
2699,26,Remainder of Michigan,RS,Michigan,0.6109296261036623,0.6068722949849887,0.6221631771124506,0.6144764213688798
2701,27,Duluth,MSA,Wisconsin,0.48014812138511803,0.48476363574595854,0.49521951391264685,0.48993662326769294
2702,27,Fargo,CSA,Minnesota,0.5594222107403436,0.5596353933121005,0.5360369557293698,0.5617198008391433
2702,27,Wahpeton,CSA,Minnesota,0.5594222107403436,0.5596353933121005,0.5360369557293698,0.5617198008391433
2703,27,Grand Forks,MSA,Minnesota,0.4786575266946539,0.4727807890826149,0.4651592735076603,0.47972632437587137
2704,27,La Crosse,MSA,Minnesota,0.5405232761065152,0.5281389822054176,0.5177803884231158,0.5328126952746076
2704,27,Onalaska,MSA,Minnesota,0.5405232761065152,0.5281389822054176,0.5177803884231158,0.5328126952746076
2705,27,Mankato,CSA,Minnesota,0.4912647357700802,0.5135850223477777,0.46067292502986745,0.49556368010251484
2705,27,New Ulm,CSA,Minnesota,0.4912647357700802,0.5135850223477777,0.46067292502986745,0.49556368010251484
2705,27,North Mankato,CSA,Minnesota,0.4912647357700802,0.5135850223477777,0.46067292502986745,0.49556368010251484
2706,27,Minneapolis,CSA,Wisconsin,0.6547879861756924,0.6563332450242947,0.6616018883285207,0.6562400545236104
2706,27,St. Paul,CSA,Wisconsin,0.6547879861756924,0.6563332450242947,0.6616018883285207,0.6562400545236104
2707,27,Rochester,CSA,Minnesota,0.47876458133118804,0.4795574886763243,0.4427976931694142,0.4811184358078847
2707,27,Austin,CSA,Minnesota,0.47876458133118804,0.4795574886763243,0.4427976931694142,0.4811184358078847
2799,27,Remainder of Minnesota,RS,Minnesota,0.616501298676092,0.6054930966683645,0.5426527282421513,0.6208368393501138
2801,28,Cleveland,CSA,Mississippi,0.7710978723267762,0.7703233676329623,0.7283233036506768,0.7157916927369169
2801,28,Indianola,CSA,Mississippi,0.7710978723267762,0.7703233676329623,0.7283233036506768,0.7157916927369169
2802,28,Gulfport,MSA,Mississippi,0.6050686900044489,0.6053641047827204,0.5941509981693525,0.5901943256240295
2802,28,Biloxi,MSA,Mississippi,0.6050686900044489,0.6053641047827204,0.5941509981693525,0.5901943256240295
2802,28,Pascagoula,MSA,Mississippi,0.6050686900044489,0.6053641047827204,0.5941509981693525,0.5901943256240295
2803,28,Hattiesburg,MSA,Mississippi,0.68536004122269,0.6899619291284022,0.6806040143371276,0.6792444488499628
2804,28,Jackson,CSA,Mississippi,0.5118244208812219,0.5151186153231699,0.5005559097915774,0.498412710455544
2804,28,Vicksburg,CSA,Mississippi,0.5118244208812219,0.5151186153231699,0.5005559097915774,0.498412710455544
2804,28,Brookhaven,CSA,Mississippi,0.5118244208812219,0.5151186153231699,0.5005559097915774,0.498412710455544
2899,28,Remainder of Mississippi,RS,Mississippi,0.7601887915058153,0.7616950426055329,0.7171354451439416,0.7543814488146129
2902,29,Columbia,CSA,Missouri,0.5709458946319929,0.5946959334934899,0.5962617842995529,0.5925944018836606
2902,29,Moberly,CSA,Missouri,0.5709458946319929,0.5946959334934899,0.5962617842995529,0.5925944018836606
2902,29,Mexico,CSA,Missouri,0.5709458946319929,0.5946959334934899,0.5962617842995529,0.5925944018836606
2904,29,Jefferson City,MSA,Missouri,0.488083330564297,0.5015982529946259,0.5067466882141796,0.5007114363718659
2905,29,Joplin,CSA,Oklahoma,0.6103310338030149,0.6051021794338605,0.6197224336960718,0.6196524726171042
2905,29,Miami,CSA,Oklahoma,0.6103310338030149,0.6051021794338605,0.6197224336960718,0.6196524726171042
2908,29,Springfield,CSA,Missouri,0.5136081095948944,0.5244412724521035,0.5261297170512559,0.5289727640092823
2908,29,Branson,CSA,Missouri,0.5136081095948944,0.5244412724521035,0.5261297170512559,0.5289727640092823
2999,29,Remainder of Missouri,RS,Missouri,0.5483076794181331,0.5490049670924071,0.5584988414962502,0.5621618056660763
3001,30,Billings,MSA,Montana,0.49535165509831885,0.49083897778030217,0.47901809847819105,0.4804373864996498
3002,30,Great Falls,MSA,Montana,0.4151314151178401,0.4093530677781368,0.410090251301765,0.4113123468670474
3003,30,Missoula,MSA,Montana,0.3819394823919225,0.390141838219906,0.3347035172999682,0.378089594724363
3099,30,Remainder of Montana,RS,Montana,0.5102821771122893,0.5019765099517468,0.4961569413389004,0.4972671359238831
3101,31,Grand Island,MSA,Nebraska,0.4332596788971074,0.36524268551065714,0.44626021899831997,0.44127355890423403
3102,31,Lincoln,CSA,Nebraska,0.4693968901393215,0.45669951008480447,0.41248885164921173,0.42689804991072067
3102,31,Beatrice,CSA,Nebraska,0.4693968901393215,0.45669951008480447,0.41248885164921173,0.42689804991072067
3199,31,Remainder of Nebraska,RS,Nebraska,0.6857491611520664,0.6817822029870786,0.6852466595402722,0.6759752213599829
3202,32,Reno,CSA,Nevada,0.4228644414348118,0.41335725804492596,0.4233312121469087,0.42214444591070166
3202,32,Carson City,CSA,Nevada,0.4228644414348118,0.41335725804492596,0.4233312121469087,0.42214444591070166
3202,32,Fernley,CSA,Nevada,0.4228644414348118,0.41335725804492596,0.4233312121469087,0.42214444591070166
3299,32,Remainder of Nevada,RS,Nevada,0.4222795175850986,0.4163980080227704,0.421567720879283,0.42614242910347677
3399,33,Remainder of New Hampshire,RS,New Hampshire,0.18184888935410431,0.17771334730432198,0.17741746839212919,0.15682466630701444
3501,35,Albuquerque,CSA,New Mexico,0.6059816249226724,0.5966611695465716,0.6083351006900533,0.6072815052200854
3501,35,Santa Fe,CSA,New Mexico,0.6059816249226724,0.5966611695465716,0.6083351006900533,0.6072815052200854
3501,35,Las Vegas,CSA,New Mexico,0.6059816249226724,0.5966611695465716,0.6083351006900533,0.6072815052200854
3502,35,Clovis,CSA,New Mexico,0.6261867113061648,0.6185191712341552,0.6273492759210842,0.6260633347382059
3502,35,Portales,CSA,New Mexico,0.6261867113061648,0.6185191712341552,0.6273492759210842,0.6260633347382059
3503,35,El Paso,CSA,New Mexico,0.5246616456771214,0.5168393291231228,0.5164480842305325,0.5235866266651452
3503,35,Las Cruces,CSA,New Mexico,0.5246616456771214,0.5168393291231228,0.5164480842305325,0.5235866266651452
3504,35,Farmington,MSA,New Mexico,0.6521278535636021,0.6416607942752648,0.6580916977732902,0.6560041542863595
3599,35,Remainder of New Mexico,New,New Mexico,0.5648369581992194,0.5539136935000084,0.5645942159442688,0.5633617136762046
3601,36,Albany,CSA,New York,0.6051481079046337,0.6018320389749633,0.614710781730093,0.6174772491451246
3601,36,Schenectady,CSA,New York,0.6051481079046337,0.6018320389749633,0.614710781730093,0.6174772491451246
3602,36,Binghamton,MSA,New York,0.5267425043171697,0.5239913533672658,0.5270010869122995,0.5247401601658668
3603,36,Buffalo,CSA,New York,0.6894104136956397,0.688596861783559,0.6926276501122827,0.6907914936104361
3603,36,Cheektowaga,CSA,New York,0.6894104136956397,0.688596861783559,0.6926276501122827,0.6907914936104361
3604,36,Elmira,CSA,New York,0.4256086713118774,0.41867770457494896,0.4037653011683821,0.41672050852752085
3604,36,Corning,CSA,New York,0.4256086713118774,0.41867770457494896,0.4037653011683821,0.41672050852752085
3605,36,Ithaca,CSA,New York,0.5903884481479974,0.5840304607857294,0.5550216002958842,0.5841534783437863
3605,36,Cortland,CSA,New York,0.5903884481479974,0.5840304607857294,0.5550216002958842,0.5841534783437863
3607,36,Rochester,CSA,New York,0.6209069747170844,0.6241376347727162,0.6254557056856201,0.6261050397781615
3607,36,Batavia,CSA,New York,0.6209069747170844,0.6241376347727162,0.6254557056856201,0.6261050397781615
3607,36,Seneca Falls,CSA,New York,0.6209069747170844,0.6241376347727162,0.6254557056856201,0.6261050397781615
3608,36,Syracuse,CSA,New York,0.5177767134724616,0.5147913291601273,0.515041391576325,0.513280626437677
